word_id,status,total_frames,hierarchy_valid,continuity_valid,kinematic_limits_respected,hand_orientation_valid,neutral_pose_aligned,clamped_events_count,clamped_frames_pct,ghost_flips_detected,joints_clamped,glb_size_mb,notes
beautiful,NEEDS_REVIEW,60,True,True,False,True,True,142,100.0,4,LeftArm; LeftForeArm_SigningSpace; LeftHand_PalmNormalFlip; RightArm; RightHandIndex2; RightHandMiddle2; RightHandPinky2; RightHandRing2; RightHand_PalmNormalFlip,4.12,"High joint clamping (100.0% frames on: LeftArm, LeftForeArm_SigningSpace, LeftHand_PalmNormalFlip, RightArm).; Corrected 2 ghost flips on Right Hand.; Corrected 2 ghost flips on Left Hand."
black,NEEDS_REVIEW,60,True,True,False,True,True,73,40.0,0,LeftArm; LeftForeArm_SigningSpace; RightHandMiddle1; RightHandMiddle2; RightHandMiddle3; RightHandPinky1; RightHandPinky2; RightHandRing1; RightHandRing2; RightHandRing3,4.11,"High joint clamping (40.0% frames on: LeftArm, LeftForeArm_SigningSpace, RightHandMiddle1, RightHandMiddle2)."
blackboard,NEEDS_REVIEW,60,True,True,False,True,True,384,96.7,4,LeftArm; LeftForeArm_SigningSpace; LeftHandIndex1; LeftHandIndex2; LeftHandMiddle1; LeftHandMiddle2; LeftHandMiddle3; LeftHandPinky1; LeftHandPinky2; LeftHandPinky3; LeftHandRing1; LeftHandRing2; LeftHandRing3; LeftHand_PalmNormalFlip; RightForeArm_SigningSpace; RightHandIndex1; RightHandIndex2; RightHandIndex3; RightHandMiddle1; RightHandMiddle2; RightHandMiddle3; RightHandPinky1; RightHandPinky2; RightHandPinky3; RightHandRing1; RightHandRing2; RightHandRing3; RightHand_PalmNormalFlip,4.12,"High joint clamping (96.7% frames on: LeftArm, LeftForeArm_SigningSpace, LeftHandIndex1, LeftHandIndex2).; Corrected 1 ghost flips on Right Hand.; Corrected 3 ghost flips on Left Hand."
board_panel,NEEDS_REVIEW,60,True,True,False,True,True,117,60.0,0,LeftArm; LeftForeArm_SigningSpace; RightArm; RightHandMiddle1; RightHandPinky1; RightHandRing1,4.11,"High joint clamping (60.0% frames on: LeftArm, LeftForeArm_SigningSpace, RightArm, RightHandMiddle1)."
book,NEEDS_REVIEW,60,True,True,False,True,True,128,58.3,2,LeftArm; LeftForeArm_ElbowFlexion; LeftForeArm_SigningSpace; LeftHandIndex2; LeftHandMiddle2; LeftHandPinky2; LeftHandRing2; RightArm; RightHandIndex2; RightHandMiddle2; RightHandPinky2; RightHandRing2; RightHand_PalmNormalFlip,4.12,"High joint clamping (58.3% frames on: LeftArm, LeftForeArm_ElbowFlexion, LeftForeArm_SigningSpace, LeftHandIndex2).; Corrected 2 ghost flips on Right Hand."
check_it,NEEDS_REVIEW,741,True,True,False,True,True,1100,55.3,0,LeftArm; LeftForeArm_SigningSpace; RightArm; RightForeArm_SigningSpace,4.14,"High joint clamping (55.3% frames on: LeftArm, LeftForeArm_SigningSpace, RightArm, RightForeArm_SigningSpace)."
competition_contest,NEEDS_REVIEW,60,True,True,False,True,True,339,98.3,2,LeftArm; LeftForeArm_SigningSpace; LeftHandIndex1; LeftHandIndex2; LeftHandMiddle1; LeftHandMiddle2; LeftHandPinky1; LeftHandPinky2; LeftHandRing1; LeftHandRing2; LeftHand_PalmNormalFlip; RightArm; RightHandIndex2; RightHandMiddle2; RightHandPinky2; RightHandRing2,4.12,"High joint clamping (98.3% frames on: LeftArm, LeftForeArm_SigningSpace, LeftHandIndex1, LeftHandIndex2).; Corrected 2 ghost flips on Left Hand."
congratulations,NEEDS_REVIEW,60,True,True,False,True,True,56,71.7,1,RightArm; RightHandMiddle1; RightHandPinky1; RightHandPinky2; RightHandPinky3; RightHandRing1; RightHandRing2; RightHand_PalmNormalFlip,4.11,"High joint clamping (71.7% frames on: RightArm, RightHandMiddle1, RightHandPinky1, RightHandPinky2).; Corrected 1 ghost flips on Right Hand."
correct,NEEDS_REVIEW,60,True,True,False,True,True,199,100.0,1,LeftArm; LeftForeArm_SigningSpace; RightHandIndex2; RightHandMiddle1; RightHandMiddle2; RightHandPinky1; RightHandPinky2; RightHandRing1; RightHandRing2; RightHand_PalmNormalFlip,4.11,"High joint clamping (100.0% frames on: LeftArm, LeftForeArm_SigningSpace, RightHandIndex2, RightHandMiddle1).; Corrected 1 ghost flips on Right Hand."
cost,NEEDS_REVIEW,60,True,True,False,True,True,427,100.0,1,LeftArm; LeftForeArm_SigningSpace; LeftHandMiddle2; LeftHandPinky1; LeftHandPinky2; LeftHandRing1; LeftHandRing2; RightArm; RightForeArm_SigningSpace; RightHandIndex1; RightHandIndex2; RightHandMiddle1; RightHandMiddle2; RightHandMiddle3; RightHandPinky1; RightHandPinky2; RightHandRing1; RightHandRing2; RightHand_PalmNormalFlip,4.12,"High joint clamping (100.0% frames on: LeftArm, LeftForeArm_SigningSpace, LeftHandMiddle2, LeftHandPinky1).; Corrected 1 ghost flips on Right Hand."
